Name,Full Text,Language,Concept,Text ,Relevance,Month,Year
AnishPrabhakar5,RT @IndianFootball: Full-Time: India U16 4-2 Hong Kong U17. A brace from Bekey Oram in the first half and goals from Rohit Danu &amp; Lalrokimaâ€_,en,TwitterHandle,@IndianFootball,0.658655,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Delighted to join @CMOKerala @vijayanpinarayi this morning at the launch of the Kerala Development &amp;Innovation Strategicâ€_,en,Company,Kerala Development,0.33,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Delighted to join @CMOKerala @vijayanpinarayi this morning at the launch of the Kerala Development &amp;Innovation Strategicâ€_,en,TwitterHandle,@vijayanpinarayi,0.33,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Delighted to join @CMOKerala @vijayanpinarayi this morning at the launch of the Kerala Development &amp;Innovation Strategicâ€_,en,TwitterHandle,@ShashiTharoor,0.33,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Delighted to join @CMOKerala @vijayanpinarayi this morning at the launch of the Kerala Development &amp;Innovation Strategicâ€_,en,TwitterHandle,@CMOKerala,0.33,Mar,2018
AnishPrabhakar5,"RT @SaraInDubai: Happy bloggers in the #Munnar tea plantations _Ÿçµ 
#keralablogexpress https://t.co/ilrcBAmSvP",en,Location,Munnar,0.794059,Mar,2018
AnishPrabhakar5,"RT @SaraInDubai: Happy bloggers in the #Munnar tea plantations _Ÿçµ 
#keralablogexpress https://t.co/ilrcBAmSvP",en,TwitterHandle,@SaraInDubai,0.794059,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,concept,Battle,0.843618,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,concept,Charles West,0.783385,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,concept,JÃ¸rn Lande,0.752107,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,Sport,Football,0.909596,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,Location,Kochi,0.697381,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,Sport,Cricket,0.471503,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: Yes Yes Yes
We have won the battle
Kochi will host Football
Tvm will host Cricket
Football has won 
Victory of all Fooâ€_",en,TwitterHandle,@kbfc_manjappada,0.471503,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: #RememberingBhagatSingh https://t.co/FysfxEuQSd,und,TwitterHandle,@ShashiTharoor,0.01,Mar,2018
AnishPrabhakar5,"RT @Shaji4Football: Finally Kochi turf saved, we must thank the legends @sachin_rt @chetrisunil11 @SGanguly99 @ShashiTharoor and the fan poâ€_",en,TwitterHandle,@Shaji4Football,0.01,Mar,2018
AnishPrabhakar5,"RT @Shaji4Football: Finally Kochi turf saved, we must thank the legends @sachin_rt @chetrisunil11 @SGanguly99 @ShashiTharoor and the fan poâ€_",en,TwitterHandle,@ShashiTharoor,0.01,Mar,2018
AnishPrabhakar5,"RT @Shaji4Football: Finally Kochi turf saved, we must thank the legends @sachin_rt @chetrisunil11 @SGanguly99 @ShashiTharoor and the fan poâ€_",en,TwitterHandle,@chetrisunil11,0.01,Mar,2018
AnishPrabhakar5,"RT @Shaji4Football: Finally Kochi turf saved, we must thank the legends @sachin_rt @chetrisunil11 @SGanguly99 @ShashiTharoor and the fan poâ€_",en,TwitterHandle,@SGanguly99,0.01,Mar,2018
AnishPrabhakar5,"RT @Shaji4Football: Finally Kochi turf saved, we must thank the legends @sachin_rt @chetrisunil11 @SGanguly99 @ShashiTharoor and the fan poâ€_",en,TwitterHandle,@sachin_rt,0.01,Mar,2018
