date;text;
21.08.17 18:16;# LoveJihadTapes # mediacrooks peddling liespic.twitter.com/SrUmgZ3DYd;
21.08.17 12:56;@ republic Love Jihad Exists. # LoveJihadTapes # LoveJihadDebate # LoveJihadNailed # LoveJihadKerala http://shankhnaad.net/home/national-security/item/492-yes-love-jihad-exists-kerala-hc-sc-nia …;
21.08.17 12:20;माना के तेरे इश्क़ के काबिल नही हूँ में BSc किया है मेने भी जाहिल नही हूँ में # LoveJihadTapes;
21.08.17 08:01;# TerrorNotIslam # JawabDo # MersalMusicLive # LoveJihad # LoveJihadTapes # INDvSL # RallyForRajini # PaisaVasool # HinduRashtr # CokeStudio10;
21.08.17 03:30;# LordKabir पर नारी ना परसियो, सुनो शब्द सलतंत। धर्मराय के खंभ से, अर्धमुखी लटकंत।। साधना Tv पर 7:40 Pm से # LoveJihadTapes # SexForNikahpic.twitter.com/5casLRV0hI;
20.08.17 20:29;# LoveJihadTapes @ republic @ ZeeNews @ aajtak @ News18Indiahttps://twitter.com/i_m_yuvraj/status/899164852362412032 …;
20.08.17 18:58;# TerrorNotIslam # JawabDo # MersalMusicLive # LoveJihad # LoveJihadTapes # INDvSL # RallyForRajini # PaisaVasool # HinduRashtr # CokeStudio10pic.twitter.com/GLUGjLskOY;
20.08.17 18:57;# TerrorNotIslam # JawabDo # MersalMusicLive # LoveJihad # LoveJihadTapes # INDvSL # RallyForRajini # PaisaVasool # HinduRashtr # CokeStudio10pic.twitter.com/4ACc2ton8R;
20.08.17 18:57;# TerrorNotIslam # JawabDo # MersalMusicLive # LoveJihad # LoveJihadTapes # INDvSL # RallyForRajini # PaisaVasool # HinduRashtr # CokeStudio10pic.twitter.com/7Pd7yCtEla;
20.08.17 18:57;# TerrorNotIslam # JawabDo # MersalMusicLive # LoveJihad # LoveJihadTapes # INDvSL # RallyForRajini # PaisaVasool # HinduRashtr # CokeStudio10pic.twitter.com/ggnYJbpD8p;
20.08.17 17:17;Give me a case where the muslim boy converted to Hindutva for the Hindu girl # LoveJihad # LoveJihadTapes;
20.08.17 15:23;Wow, the devil truely lies in detail ! # Kerala # LoveJihad # LoveJihadTapes # LoveJihadNailed # God'sOwnCountryhttps://twitter.com/Swamy39/status/898124931069689856 …;
20.08.17 15:14;# LoveJihad # LoveJihadTapes # LoveJihadNailed Adverse effects of sickularism.pic.twitter.com/JxokXRzMAR;
20.08.17 14:23;# LoveJihadTapes it is the cause of terrorism bcz they hatret girl for his family religion and use them in terrorism...shame on these people.;
20.08.17 09:56;# LoveJihadTapes Love jihad is shame on inocent hindu community;
20.08.17 09:47;अगर @ iaasifsheikh कुँवारा होता तो तुम अब तक # LoveJihad की शिकार हो गयी होती। # SankalpSeSiddhi # LoveJihadTapes https://twitter.com/saumyatandon/status/898957963641192449 …;
20.08.17 07:08;And @ ReallySwara thinks all is well ! # LoveJihadTapes https://twitter.com/amritabhinder/status/899117185901010944 …;
20.08.17 04:13;# LoveJihadTapes | Arnab Goswami https://www.youtube.com/watch?v=t-i2LvwfcMM&feature=share …;
20.08.17 03:21;http://www.thenewsminute.com/article/forcibly-converted-islam-efforts-take-her-syria-kerala-woman-s-father-hc-67042 … Why wud any father lie bout her daughter.any father wil b pained 2 see her princess suffer # LoveJihadTapes;
19.08.17 21:45;Calculate your cost..May be it will be beneficial for ur Muslim bf to send u to Islamic terrorism.. # BarcelonaTerrorAttack # LoveJihadTapes pic.twitter.com/5qxfjd38Pc;
19.08.17 20:34;Love jihad in kerala. Government take action against culprit. # LoveJihad # LoveJihadTapes pic.twitter.com/jUbWBOUfYN;
19.08.17 19:47;# Kerala # KeralaLoveJihad # LoveJihad # LoveJihadTapes # LoveJihadNailedhttps://twitter.com/DrGPradhan/status/898918618401984513 …;
19.08.17 19:15;# LoveJihad # LoveJihadTapes https://twitter.com/dhanyarajendran/status/898832858885664768 …;
19.08.17 18:11;The greatest danger to non muslims is not # ISIS or # ISI or # AlQaeeda, it is # Taqqiya. # LoveJihadTapes https://counterjihadreport.com/2013/10/31/ali-sina-peeling-back-the-layers-of-taqiyya/ … @ AsYouNotWish;
