username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
;24.11.17 00:08;1;0;# LoveJihad # lovejihadfight Hindu girl Neelam married Muslim BF Hafeez. He dumped her after having 3 kids. She died of disease. Her poor father begged for funeral. https://m.bhaskar.com/uttar-pradesh/news/UP-LUCK-retired-railway-worker-begged-for-help-to-cremate-young-daughter-5752289-PHO.html?ref=gamp …;;;# #;9,34E+17;https://twitter.com/amitvikram108/status/933834592452096005;
;23.11.17 12:53;1;1;हिन्दूओ अपनी बच्चियों को सनातनी संस्कार दो नही तो बड़ी होकर गौरी खान किरण खान और करीना खान बनेगी और फिर # तैमूर ही पैदा करेगी # lovejihadfight;;;# #;9,34E+17;https://twitter.com/Ramkish23258981/status/933664891919065088;
;22.11.17 06:50;2;19;Will be live on @ ZeeHindustan at 1 PM # LoveJihad # lovejihadfight;;@;# #;9,33E+17;https://twitter.com/Amberological/status/933210967684419584;
;22.11.17 06:45;1;0;SC refuses urgent hearing on plea by father of # Kerala woman seeking in-camera interaction with her in the # LoveJihad case # lovejihadfight;;;# # #;9,33E+17;https://twitter.com/fpjindia/status/933209898292166656;
;22.11.17 06:36;12;13;क्या लव जिहाद के नाम पर हिन्दू लड़कियों से साथ धोखा धड़ी हो रही है? # LoveJihad # AajKaAgenda # lovejihadfight @ RSSorg;;@;# # #;9,33E+17;https://twitter.com/Zee_Hindustan/status/933207450534141952;
;21.11.17 09:34;0;0;लव जिहाद को देश की भांड फ़िल्मी बॉलीवुड एक साजिस के अंतर्गत प्रमोट कर रही है जिसका असर समाज में हो रह है ..लव जिहाद एक सच है और भयावह साजिस है जिसकी अनदेखी हिंदुत्व के अस्तित्व पर करारा चोट कर सकती है # lovejihadfight # LoveJihad;;;# #;9,33E+17;https://twitter.com/AlokSrii/status/932889983769198592;
;21.11.17 07:03;0;0;लव जिहाद: एक सच या है कोई कोरी अफवाह -धर्म परिवर्तन http://www.newsofrajasthan.com/love-jihad-there-is-a-truth-or-rumor/ … # NOR # newsofrajasthan # LoveJihad # lovejihadfight # lovejihadkajaal # lovejihadinkerala;;;# # # # # #;9,33E+17;https://twitter.com/NewsRajasthani/status/932852018481307648;
;20.11.17 16:40;0;0;@ indiatvnews @ republic @ TimesNow Why # Indians are focusing on # padamavati while not focusing on # lovejihadfight # Keralahttps://twitter.com/SudarshanNewsTV/status/932626847027908610 …;;@ @ @;# # # #;9,33E+17;https://twitter.com/Vijapandey/status/932634650756792320;
;20.11.17 12:47;3;1;क्या समाज में है, लव जिहाद का वजूद ? # lovejihadfight;;;#;9,33E+17;https://twitter.com/zeesalaamtweet/status/932576094649163776;
;20.11.17 02:56;0;0;# Padmavati # lovejihadfight ...these are employing our youth.;;;# #;9,32E+17;https://twitter.com/Critic2015/status/932427474952245248;
;19.11.17 17:24;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932283404640387072 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932283441395122176;
;19.11.17 17:13;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932277167098019840 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932280736219987968;
;19.11.17 17:13;0;0;# lovejihadfight @ narendramodi @ rajnathsingh @ Nidhi @ POTUS @ KingSalman @ BBC @ CNN @ Arab_News @ rsprasad @ sambitswaraj @ thetimes @ timesofindia @ republic @ TheSiasatDaily @ KTRTRS @_Shiv_bagwan_ @ dawahbyicodehttps://twitter.com/AnasIly36972260/status/932277694363942912 …;;@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @_Shiv_bagwan_ @;#;9,32E+17;https://twitter.com/AnasIly36972260/status/932280709481246720;
